athlete_1;athlete_2;athlete_3;athlete_4;athlete_5;wt_count_trial_1;wt_count_trial_2;wt_count_trial_3;wt_count_trial_4;wt_count_trial_5;wt_count_trial_6;wt_count_trial_7;wt_count_trial_8;wt_count_trial_9;wt_count_trial_10;wt_count_trial_11;wt_count_trial_12;wt_count_trial_13;wt_count_trial_14;wt_count_trial_15;wt_count_trial_16;wt_count_trial_17;wt_count_trial_18;wt_count_trial_19;wt_count_trial_20;wt_count_trial_21;wt_count_trial_22;wt_count_trial_23;wt_count_trial_24;wt_count_trial_25;wt_count_trial_26;wt_count_trial_27;wt_count_trial_28;wt_count_trial_29;wt_count_trial_30;wt_count_trial_31;wt_count_trial_32;wt_count_trial_33;wt_count_trial_34;wt_count_trial_35;wt_count_trial_36;wt_count_trial_37;wt_count_trial_38;wt_count_trial_39;wt_count_trial_40;wt_count_trial_41;wt_count_trial_42;wt_count_trial_43;wt_count_trial_44;wt_count_trial_45;wt_count_trial_46;wt_count_trial_47;wt_count_trial_48;wt_count_trial_49;wt_count_trial_50;wt_count_trial_51;wt_count_trial_52;wt_count_trial_53;wt_count_trial_54;wt_count_trial_55;wt_count_trial_56;wt_count_trial_57;wt_count_trial_58;wt_count_trial_59;wt_count_trial_60;wt_count_trial_61;wt_count_trial_62;wt_count_trial_63;wt_count_trial_64;wt_count_trial_65;wt_count_trial_66;wt_count_trial_67;wt_count_trial_68;wt_count_trial_69;wt_count_trial_70;wt_count_trial_71;wt_count_trial_72;wt_count_trial_73;wt_count_trial_74;wt_count_trial_75;wt_count_trial_76;wt_count_trial_77;wt_count_trial_78;wt_count_trial_79;wt_count_trial_80;wt_count_trial_81;wt_count_trial_82;wt_count_trial_83;wt_count_trial_84;wt_count_trial_85;wt_count_trial_86;wt_count_trial_87;wt_count_trial_88;wt_count_trial_89;wt_count_trial_90;wt_count_trial_91;wt_count_trial_92;wt_count_trial_93;wt_count_trial_94;wt_count_trial_95;wt_count_trial_96;wt_count_trial_97;wt_count_trial_98;wt_count_trial_99;wt_count_trial_100
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Dallas Hale;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;3;0;1;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Paul Juda;0;0;0;0;2;0;1;2;0;3;1;0;0;0;0;3;1;1;1;0;1;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Brody Malone;3;2;3;3;3;2;2;5;3;4;4;3;3;3;3;6;3;4;3;3;3;2;7;3;5;2;2;3;3;6;6;3;3;3;3;5;7;2;3;3;6;3;3;3;4;3;1;5;3;3;2;4;3;2;3;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;2;3;0;3;2;2;4;3;3;6;3;3;6;3;3;3;3;2;3;2;1;1;3;6;3;6;3;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Stephen Nedoroscik;3;1;2;1;4;0;2;1;3;3;2;2;0;0;0;3;1;1;1;1;0;1;4;1;1;1;1;1;1;4;0;2;0;0;0;0;1;0;0;0;6;1;3;3;1;1;1;2;1;0;1;1;3;3;1;1;0;0;0;0;1;3;0;2;2;0;2;0;0;0;0;1;0;0;0;2;2;0;2;1;2;1;0;1;0;3;0;0;1;1;1;1;1;0;1;2;2;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Curran Phillips;0;0;0;0;2;2;1;0;0;2;3;2;2;0;0;3;0;1;0;0;0;0;3;0;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;2;1;0;0;0;1;2;0;0;0;0;0;3;3;0;0;0;0;2;3;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Frederick Richard;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;3;0;1;0;0;0;0;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Frederick Nathaniel Richard;3;0;0;0;2;0;0;0;0;2;1;0;0;0;0;3;0;1;0;0;0;0;3;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;3;0;0;0;2;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Colt Walker;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Landen Paul Blixt;J.r. Chou;Alex Diab;Asher Hong;Donnell Whittenburg;0;0;0;0;2;0;0;0;0;3;1;3;0;0;0;3;0;1;0;3;0;0;0;0;3;0;0;0;0;2;0;0;0;0;3;2;0;0;1;0;9;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;2;0;0;3;0;0;1;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Paul Juda;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Brody Malone;3;2;3;3;1;2;2;5;3;2;3;3;3;3;3;3;3;3;3;3;3;2;4;3;5;2;2;3;3;6;6;3;3;3;3;5;7;2;3;3;3;3;3;3;4;3;1;5;3;3;2;3;3;2;4;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;2;3;0;3;2;2;2;3;3;9;3;3;6;2;3;3;3;2;3;2;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Stephen Nedoroscik;3;1;2;1;2;0;2;1;3;1;1;2;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;2;0;2;0;0;0;0;1;0;0;0;3;1;3;3;1;1;1;2;1;0;1;0;3;3;2;1;0;0;0;0;1;3;0;2;2;0;2;0;0;0;0;1;0;0;0;2;2;0;0;1;2;4;0;1;0;2;0;0;1;1;1;1;1;0;1;3;2;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Curran Phillips;0;0;0;0;0;2;1;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;2;1;0;0;0;1;2;0;0;0;0;0;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Frederick Richard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Frederick Nathaniel Richard;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Colt Walker;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Landen Paul Blixt;J.r. Chou;Alex Diab;Dallas Hale;Donnell Whittenburg;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;2;0;0;3;0;0;1;2;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Brody Malone;3;2;3;3;1;2;2;5;3;2;3;3;3;3;3;3;3;3;3;3;3;2;4;3;5;2;2;3;3;6;6;3;3;3;3;5;7;3;3;3;3;3;3;3;4;3;1;6;3;3;2;3;3;2;3;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;2;3;0;3;2;2;2;3;3;6;3;3;6;2;3;3;3;2;3;2;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Stephen Nedoroscik;3;1;2;1;2;0;3;3;3;2;1;2;0;0;0;0;2;0;2;1;1;1;1;1;1;1;1;1;1;2;0;2;0;0;0;0;1;0;0;0;3;1;3;3;1;1;1;4;1;0;1;0;3;3;1;2;0;0;0;0;1;3;0;2;2;0;2;0;0;0;0;1;0;0;0;2;2;0;0;1;2;1;0;1;0;2;0;0;1;1;1;1;1;0;1;2;2;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Curran Phillips;0;0;0;0;0;2;2;2;0;1;2;2;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;3;0;2;1;0;0;0;1;2;0;0;0;0;0;3;3;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Frederick Richard;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Frederick Nathaniel Richard;3;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Colt Walker;0;0;0;0;0;0;1;2;0;1;0;0;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Landen Paul Blixt;J.r. Chou;Alex Diab;Paul Juda;Donnell Whittenburg;0;0;0;0;0;0;1;2;0;2;0;3;0;0;0;0;1;0;1;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;6;0;0;0;0;0;0;2;0;3;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;2;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Stephen Nedoroscik;6;3;5;4;3;2;4;6;6;3;4;5;3;3;3;3;4;3;4;4;3;3;5;4;6;3;3;4;4;8;6;5;3;3;3;5;8;2;3;3;6;4;6;6;5;4;2;7;4;3;3;3;6;5;4;6;3;2;6;3;4;6;3;5;5;2;5;3;2;0;2;4;2;3;0;5;4;2;2;4;5;7;3;4;6;4;3;3;4;3;4;3;2;1;4;8;5;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Curran Phillips;3;2;3;3;1;4;3;5;3;2;5;5;5;3;3;3;3;3;3;3;3;2;4;3;5;2;2;3;3;6;6;3;6;4;3;5;7;2;3;3;3;4;3;3;4;3;1;5;3;3;2;3;3;3;3;5;3;2;9;3;5;4;3;3;3;3;5;3;2;0;2;3;5;6;0;3;2;2;2;6;3;7;3;3;6;2;3;3;3;5;3;2;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Frederick Richard;3;2;3;3;1;2;2;5;3;2;3;3;3;3;3;3;3;3;3;3;3;2;4;3;5;2;2;3;3;6;6;3;3;3;3;5;7;2;3;3;3;3;3;3;4;3;1;5;3;3;2;3;3;2;3;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;2;3;0;3;2;2;2;3;3;6;3;3;6;2;3;3;3;2;3;2;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Frederick Nathaniel Richard;5;2;3;3;1;2;2;5;3;2;3;3;3;3;3;3;3;3;3;3;3;2;4;4;5;2;2;3;3;6;6;3;3;3;3;5;7;2;6;3;3;3;3;3;5;3;1;7;3;3;2;3;3;2;3;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;2;3;0;3;2;2;2;4;3;6;3;3;6;2;3;3;3;2;3;3;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Colt Walker;3;2;3;3;1;2;2;5;3;2;3;3;6;3;3;3;3;3;3;3;3;2;4;3;5;2;2;3;3;6;6;3;3;3;3;5;7;2;3;3;3;3;3;3;4;3;1;5;3;3;2;3;3;2;3;5;3;2;6;3;3;3;3;3;3;2;3;3;2;0;2;3;5;3;0;6;2;2;2;3;3;6;3;3;6;2;3;3;3;2;3;2;1;1;3;6;3;6;3;3
Landen Paul Blixt;J.r. Chou;Alex Diab;Brody Malone;Donnell Whittenburg;3;2;3;3;1;2;2;5;3;3;3;6;3;3;3;3;3;3;3;6;3;2;4;3;7;2;2;3;3;6;6;3;3;3;6;4;7;2;4;3;9;3;3;3;4;3;1;5;3;6;2;3;3;2;3;6;3;2;6;3;3;4;4;3;3;2;5;3;2;0;4;3;2;6;0;3;3;4;2;3;3;6;3;3;6;2;5;3;3;2;3;2;1;1;3;6;3;6;3;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Stephen Nedoroscik;Curran Phillips;3;1;2;1;2;2;3;1;3;1;3;4;2;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;2;0;2;3;1;0;0;1;0;0;0;3;2;3;3;1;1;1;2;1;0;1;0;3;4;1;1;0;0;3;0;3;4;0;2;2;1;4;0;0;0;0;1;3;3;0;2;2;0;0;4;2;2;0;1;0;2;0;0;1;4;1;1;1;0;1;2;2;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Stephen Nedoroscik;Frederick Richard;3;1;2;1;2;0;2;1;3;1;1;2;0;0;0;0;1;0;1;1;0;1;1;2;1;1;1;1;1;2;0;2;0;0;0;0;1;0;0;0;3;1;3;3;1;1;1;3;1;0;1;0;3;3;1;1;0;0;0;0;1;3;0;2;2;0;2;0;0;0;0;1;0;0;0;2;2;0;0;1;2;1;0;1;0;2;0;0;1;1;1;1;1;0;1;2;2;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Stephen Nedoroscik;Frederick Nathaniel Richard;6;1;2;1;2;0;2;1;0;1;1;2;0;0;0;0;1;0;1;1;0;1;1;3;1;1;1;2;1;2;0;2;0;0;0;0;1;0;3;0;3;1;3;3;3;1;1;5;1;0;1;0;3;3;1;1;0;1;0;0;1;3;0;2;2;0;2;0;0;0;0;1;0;0;0;2;2;0;0;3;2;1;0;1;0;3;0;0;1;1;1;3;1;0;1;2;2;0;0;0
Landen Paul Blixt;J.r. Chou;Alex Diab;Stephen Nedoroscik;Colt Walker;3;1;2;1;2;0;2;1;3;1;1;2;3;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;2;0;2;0;0;0;0;1;0;0;0;3;1;3;3;1;1;1;2;1;0;1;0;3;3;1;1;0;0;0;0;1;3;0;2;2;0;2;0;0;0;0;1;3;0;0;5;2;0;0;1;2;1;0;1;0;2;0;0;1;1;1;1;1;0;1;2;2;0;0;3
Landen Paul Blixt;J.r. Chou;Alex Diab;Stephen Nedoroscik;Donnell Whittenburg;3;1;2;1;2;0;2;1;3;2;1;5;0;0;0;0;1;0;1;4;0;1;1;1;4;1;1;1;1;2;0;2;0;0;3;2;1;0;1;0;9;1;3;3;1;1;1;2;1;3;1;0;3;3;1;2;0;0;0;0;1;4;1;2;2;0;4;0;0;0;2;1;0;3;0;2;3;2;0;1;2;1;0;1;0;2;2;0;1;1;1;1;1;0;1;2;2;0;0;0
